datetime,machineID,errorID
2015-06-01 07:00:00,1,error5
2015-06-11 02:00:00,1,error3
2015-06-27 12:00:00,1,error5
2015-06-20 14:00:00,1,error3
2015-06-25 10:00:00,1,error5
2015-06-11 07:00:00,1,error4
2015-06-16 23:00:00,1,error4
2015-06-22 00:00:00,2,error1
2015-06-05 20:00:00,2,error4
2015-06-01 21:00:00,3,error1
2015-06-19 16:00:00,3,error4
2015-06-22 14:00:00,3,error3
2015-06-11 17:00:00,3,error1
2015-06-25 06:00:00,3,error4
2015-06-13 21:00:00,3,error4
2015-06-24 14:00:00,3,error4
2015-06-11 07:00:00,4,error5
2015-06-28 11:00:00,4,error4
2015-06-25 09:00:00,4,error5
2015-06-21 21:00:00,4,error3
2015-06-26 12:00:00,5,error5
2015-06-19 21:00:00,5,error5
2015-06-21 21:00:00,5,error2
2015-06-24 15:00:00,5,error1
2015-06-27 21:00:00,6,error1
2015-06-24 10:00:00,6,error4
2015-06-03 10:00:00,6,error5
2015-06-26 00:00:00,6,error2
2015-06-26 20:00:00,6,error3
2015-06-28 21:00:00,6,error2
2015-06-09 21:00:00,7,error4
2015-06-29 23:00:00,7,error4
2015-06-12 07:00:00,8,error5
2015-06-22 06:00:00,8,error2
2015-06-25 15:00:00,8,error3
2015-06-06 16:00:00,8,error3
2015-06-23 23:00:00,8,error1
2015-06-06 08:00:00,8,error2
2015-06-06 21:00:00,8,error3
2015-06-21 10:00:00,8,error4
2015-06-19 18:00:00,8,error5
2015-06-25 14:00:00,8,error3
2015-06-11 14:00:00,9,error2
2015-06-26 09:00:00,9,error5
2015-06-11 20:00:00,9,error1
2015-06-11 11:00:00,9,error1
2015-06-06 19:00:00,9,error5
2015-06-04 02:00:00,9,error3
2015-06-30 17:00:00,9,error5
2015-06-19 15:00:00,9,error5
2015-06-12 23:00:00,11,error3
2015-06-10 08:00:00,12,error2
2015-06-22 05:00:00,12,error4
2015-06-13 02:00:00,12,error3
2015-06-05 05:00:00,13,error2
2015-06-02 08:00:00,13,error4
2015-06-29 05:00:00,13,error1
2015-06-30 08:00:00,13,error2
2015-06-16 07:00:00,13,error2
2015-06-04 06:00:00,13,error5
2015-06-03 23:00:00,14,error1
2015-06-16 05:00:00,14,error3
2015-06-07 04:00:00,14,error3
2015-06-22 22:00:00,14,error5
2015-06-29 10:00:00,14,error1
2015-06-29 14:00:00,14,error3
2015-06-30 08:00:00,14,error1
2015-06-08 12:00:00,15,error2
2015-06-20 03:00:00,15,error3
2015-06-08 08:00:00,15,error1
2015-06-29 20:00:00,16,error4
2015-06-11 02:00:00,16,error2
2015-06-22 12:00:00,16,error4
2015-06-13 13:00:00,17,error2
2015-06-15 07:00:00,17,error2
2015-06-25 23:00:00,17,error5
2015-06-29 10:00:00,17,error5
2015-06-30 00:00:00,17,error1
2015-06-25 04:00:00,17,error2
2015-06-11 04:00:00,17,error3
2015-06-29 23:00:00,17,error4
2015-06-05 16:00:00,18,error4
2015-06-05 15:00:00,18,error5
2015-06-18 19:00:00,19,error2
2015-06-05 00:00:00,19,error2
2015-06-26 04:00:00,19,error3
2015-06-28 04:00:00,19,error3
2015-06-22 19:00:00,19,error3
2015-06-30 00:00:00,19,error1
2015-06-23 09:00:00,19,error4
2015-06-14 19:00:00,19,error2
2015-06-13 18:00:00,20,error3
2015-06-21 20:00:00,20,error2
2015-06-07 10:00:00,20,error4
2015-06-02 22:00:00,20,error3
